date,year_month,year,month,day_of_week,member_casual,ride_length
2021-05-25,2021 May,2021,May,Tuesday,casual,1152180
2020-11-03,2020 November,2020,November,Tuesday,casual,361560
2020-11-10,2020 November,2020,November,Tuesday,casual,342480
2020-11-17,2020 November,2020,November,Tuesday,casual,140280
2020-11-24,2020 November,2020,November,Tuesday,casual,36600
2020-10-06,2020 October,2020,October,Tuesday,casual,707160
2020-10-13,2020 October,2020,October,Tuesday,casual,627720
2020-10-20,2020 October,2020,October,Tuesday,casual,1420620
2020-10-27,2020 October,2020,October,Tuesday,casual,97440
2020-09-01,2020 September,2020,September,Tuesday,casual,385140
2020-09-08,2020 September,2020,September,Tuesday,casual,223860
2020-09-15,2020 September,2020,September,Tuesday,casual,965040
2020-09-22,2020 September,2020,September,Tuesday,casual,790380
2020-09-29,2020 September,2020,September,Tuesday,casual,585540
2021-04-07,2021 April,2021,April,Wednesday,casual,3480420
2021-04-14,2021 April,2021,April,Wednesday,casual,233040
2021-04-21,2021 April,2021,April,Wednesday,casual,240780
2021-04-28,2021 April,2021,April,Wednesday,casual,132720
2021-08-04,2021 August,2021,August,Wednesday,casual,1588560
2021-08-11,2021 August,2021,August,Wednesday,casual,1015320
2021-08-18,2021 August,2021,August,Wednesday,casual,1557420
2021-08-25,2021 August,2021,August,Wednesday,casual,1037100
2020-12-02,2020 December,2020,December,Wednesday,casual,96540
2020-12-09,2020 December,2020,December,Wednesday,casual,182820
2020-12-16,2020 December,2020,December,Wednesday,casual,36840
2020-12-23,2020 December,2020,December,Wednesday,casual,107220
2020-12-30,2020 December,2020,December,Wednesday,casual,93600
2021-02-03,2021 February,2021,February,Wednesday,casual,32040
2021-02-10,2021 February,2021,February,Wednesday,casual,11400
2021-02-17,2021 February,2021,February,Wednesday,casual,5760
2021-02-24,2021 February,2021,February,Wednesday,casual,142800
2021-01-06,2021 January,2021,January,Wednesday,casual,123960
2021-01-13,2021 January,2021,January,Wednesday,casual,71820
2021-01-20,2021 January,2021,January,Wednesday,casual,142740
2021-01-27,2021 January,2021,January,Wednesday,casual,15120
2021-07-07,2021 July,2021,July,Wednesday,casual,1485300
2021-07-14,2021 July,2021,July,Wednesday,casual,1710900
2021-07-21,2021 July,2021,July,Wednesday,casual,1387500
2021-07-28,2021 July,2021,July,Wednesday,casual,1712520
2021-06-02,2021 June,2021,June,Wednesday,casual,1086360
2021-06-09,2021 June,2021,June,Wednesday,casual,1685580
2021-06-16,2021 June,2021,June,Wednesday,casual,1534680
2021-06-23,2021 June,2021,June,Wednesday,casual,1151220
2021-06-30,2021 June,2021,June,Wednesday,casual,709860
2021-03-03,2021 March,2021,March,Wednesday,casual,201960
2021-03-10,2021 March,2021,March,Wednesday,casual,309900
2021-03-17,2021 March,2021,March,Wednesday,casual,64740
2021-03-24,2021 March,2021,March,Wednesday,casual,482760
2021-03-31,2021 March,2021,March,Wednesday,casual,243240
2021-05-05,2021 May,2021,May,Wednesday,casual,483540
2021-05-12,2021 May,2021,May,Wednesday,casual,491040
2021-05-19,2021 May,2021,May,Wednesday,casual,821280
2021-05-26,2021 May,2021,May,Wednesday,casual,1062000
2020-11-04,2020 November,2020,November,Wednesday,casual,510900
2020-11-11,2020 November,2020,November,Wednesday,casual,315540
2020-11-18,2020 November,2020,November,Wednesday,casual,240180
2020-11-25,2020 November,2020,November,Wednesday,casual,59040
2020-10-07,2020 October,2020,October,Wednesday,casual,917880
2020-10-14,2020 October,2020,October,Wednesday,casual,595620
2020-10-21,2020 October,2020,October,Wednesday,casual,297360
2020-10-28,2020 October,2020,October,Wednesday,casual,232260
2020-09-02,2020 September,2020,September,Wednesday,casual,1071840
2020-09-09,2020 September,2020,September,Wednesday,casual,767040
2020-09-16,2020 September,2020,September,Wednesday,casual,1059360
2020-09-23,2020 September,2020,September,Wednesday,casual,1173600
2020-09-30,2020 September,2020,September,Wednesday,casual,430740
2021-04-02,2021 April,2021,April,Friday,member,337020
2021-04-09,2021 April,2021,April,Friday,member,511560
2021-04-16,2021 April,2021,April,Friday,member,424560
2021-04-23,2021 April,2021,April,Friday,member,512340
2021-04-30,2021 April,2021,April,Friday,member,581940
2021-08-06,2021 August,2021,August,Friday,member,850080
2021-08-13,2021 August,2021,August,Friday,member,892380
2021-08-20,2021 August,2021,August,Friday,member,921000
2021-08-27,2021 August,2021,August,Friday,member,995340
2020-12-04,2020 December,2020,December,Friday,member,284760
2020-12-11,2020 December,2020,December,Friday,member,178440
2020-12-18,2020 December,2020,December,Friday,member,228780
2020-12-25,2020 December,2020,December,Friday,member,38280
2021-02-05,2021 February,2021,February,Friday,member,126840
2021-02-12,2021 February,2021,February,Friday,member,103680
2021-02-19,2021 February,2021,February,Friday,member,72660
2021-02-26,2021 February,2021,February,Friday,member,197940
2021-01-01,2021 January,2021,January,Friday,member,36780
2021-01-08,2021 January,2021,January,Friday,member,182760
2021-01-15,2021 January,2021,January,Friday,member,195000
2021-01-22,2021 January,2021,January,Friday,member,147660
2021-01-29,2021 January,2021,January,Friday,member,153480
2021-07-02,2021 July,2021,July,Friday,member,882240
2021-07-09,2021 July,2021,July,Friday,member,962700
2021-07-16,2021 July,2021,July,Friday,member,738540
2021-07-23,2021 July,2021,July,Friday,member,822960
2021-07-30,2021 July,2021,July,Friday,member,815040
2021-06-04,2021 June,2021,June,Friday,member,971520
2021-06-11,2021 June,2021,June,Friday,member,900840
2021-06-18,2021 June,2021,June,Friday,member,821640
2021-06-25,2021 June,2021,June,Friday,member,611580
2021-03-05,2021 March,2021,March,Friday,member,211320
2021-03-12,2021 March,2021,March,Friday,member,277080
2021-03-19,2021 March,2021,March,Friday,member,255000
2021-03-26,2021 March,2021,March,Friday,member,264720
2021-05-07,2021 May,2021,May,Friday,member,569040
2021-05-14,2021 May,2021,May,Friday,member,749760
2021-05-21,2021 May,2021,May,Friday,member,869340
2021-05-28,2021 May,2021,May,Friday,member,280080
2020-11-06,2020 November,2020,November,Friday,member,682380
2020-11-13,2020 November,2020,November,Friday,member,324600
2020-11-20,2020 November,2020,November,Friday,member,432000
2020-11-27,2020 November,2020,November,Friday,member,214020
