date,year_month,year,month,day_of_week,member_casual,ride_count
2021-04-27,2021 April,2021,April,Tuesday,casual,628
2021-08-03,2021 August,2021,August,Tuesday,casual,895
2021-08-10,2021 August,2021,August,Tuesday,casual,663
2021-08-17,2021 August,2021,August,Tuesday,casual,894
2021-08-24,2021 August,2021,August,Tuesday,casual,552
2021-08-31,2021 August,2021,August,Tuesday,casual,724
2020-12-01,2020 December,2020,December,Tuesday,casual,76
2020-12-08,2020 December,2020,December,Tuesday,casual,68
2020-12-15,2020 December,2020,December,Tuesday,casual,61
2020-12-22,2020 December,2020,December,Tuesday,casual,85
2020-12-29,2020 December,2020,December,Tuesday,casual,52
2021-02-02,2021 February,2021,February,Tuesday,casual,22
2021-02-09,2021 February,2021,February,Tuesday,casual,12
2021-02-16,2021 February,2021,February,Tuesday,casual,2
2021-02-23,2021 February,2021,February,Tuesday,casual,43
2021-01-05,2021 January,2021,January,Tuesday,casual,42
2021-01-12,2021 January,2021,January,Tuesday,casual,61
2021-01-19,2021 January,2021,January,Tuesday,casual,34
2021-01-26,2021 January,2021,January,Tuesday,casual,9
2021-07-06,2021 July,2021,July,Tuesday,casual,874
2021-07-13,2021 July,2021,July,Tuesday,casual,781
2021-07-20,2021 July,2021,July,Tuesday,casual,937
2021-07-27,2021 July,2021,July,Tuesday,casual,932
2021-06-01,2021 June,2021,June,Tuesday,casual,669
2021-06-08,2021 June,2021,June,Tuesday,casual,754
2021-06-15,2021 June,2021,June,Tuesday,casual,886
2021-06-22,2021 June,2021,June,Tuesday,casual,970
2021-06-29,2021 June,2021,June,Tuesday,casual,540
2021-03-02,2021 March,2021,March,Tuesday,casual,67
2021-03-09,2021 March,2021,March,Tuesday,casual,286
2021-03-16,2021 March,2021,March,Tuesday,casual,59
2021-03-23,2021 March,2021,March,Tuesday,casual,121
2021-03-30,2021 March,2021,March,Tuesday,casual,263
2021-05-04,2021 May,2021,May,Tuesday,casual,205
2021-05-11,2021 May,2021,May,Tuesday,casual,295
2021-05-18,2021 May,2021,May,Tuesday,casual,350
2021-05-25,2021 May,2021,May,Tuesday,casual,603
2020-11-03,2020 November,2020,November,Tuesday,casual,265
2020-11-10,2020 November,2020,November,Tuesday,casual,214
2020-11-17,2020 November,2020,November,Tuesday,casual,107
2020-11-24,2020 November,2020,November,Tuesday,casual,39
2020-10-06,2020 October,2020,October,Tuesday,casual,410
2020-10-13,2020 October,2020,October,Tuesday,casual,404
2020-10-20,2020 October,2020,October,Tuesday,casual,185
2020-10-27,2020 October,2020,October,Tuesday,casual,80
2020-09-01,2020 September,2020,September,Tuesday,casual,263
2020-09-08,2020 September,2020,September,Tuesday,casual,136
2020-09-15,2020 September,2020,September,Tuesday,casual,514
2020-09-22,2020 September,2020,September,Tuesday,casual,509
2020-09-29,2020 September,2020,September,Tuesday,casual,343
2021-04-07,2021 April,2021,April,Wednesday,casual,511
2021-04-14,2021 April,2021,April,Wednesday,casual,163
2021-04-21,2021 April,2021,April,Wednesday,casual,120
2021-04-28,2021 April,2021,April,Wednesday,casual,144
2021-08-04,2021 August,2021,August,Wednesday,casual,930
2021-08-11,2021 August,2021,August,Wednesday,casual,717
2021-08-18,2021 August,2021,August,Wednesday,casual,902
2021-08-25,2021 August,2021,August,Wednesday,casual,626
2020-12-02,2020 December,2020,December,Wednesday,casual,73
2020-12-09,2020 December,2020,December,Wednesday,casual,120
2020-12-16,2020 December,2020,December,Wednesday,casual,43
2020-12-23,2020 December,2020,December,Wednesday,casual,84
2020-12-30,2020 December,2020,December,Wednesday,casual,24
2021-02-03,2021 February,2021,February,Wednesday,casual,29
2021-02-10,2021 February,2021,February,Wednesday,casual,14
2021-02-17,2021 February,2021,February,Wednesday,casual,6
2021-02-24,2021 February,2021,February,Wednesday,casual,34
2021-01-06,2021 January,2021,January,Wednesday,casual,39
2021-01-13,2021 January,2021,January,Wednesday,casual,65
2021-01-20,2021 January,2021,January,Wednesday,casual,24
2021-01-27,2021 January,2021,January,Wednesday,casual,13
2021-07-07,2021 July,2021,July,Wednesday,casual,874
2021-07-14,2021 July,2021,July,Wednesday,casual,976
2021-07-21,2021 July,2021,July,Wednesday,casual,951
2021-07-28,2021 July,2021,July,Wednesday,casual,1007
2021-06-02,2021 June,2021,June,Wednesday,casual,673
2021-06-09,2021 June,2021,June,Wednesday,casual,850
2021-06-16,2021 June,2021,June,Wednesday,casual,894
2021-06-23,2021 June,2021,June,Wednesday,casual,779
2021-06-30,2021 June,2021,June,Wednesday,casual,577
2021-03-03,2021 March,2021,March,Wednesday,casual,123
2021-03-10,2021 March,2021,March,Wednesday,casual,186
2021-03-17,2021 March,2021,March,Wednesday,casual,58
2021-03-24,2021 March,2021,March,Wednesday,casual,205
2021-03-31,2021 March,2021,March,Wednesday,casual,121
2021-05-05,2021 May,2021,May,Wednesday,casual,340
2021-05-12,2021 May,2021,May,Wednesday,casual,332
2021-05-19,2021 May,2021,May,Wednesday,casual,463
2021-05-26,2021 May,2021,May,Wednesday,casual,619
2020-11-04,2020 November,2020,November,Wednesday,casual,288
2020-11-11,2020 November,2020,November,Wednesday,casual,189
2020-11-18,2020 November,2020,November,Wednesday,casual,136
2020-11-25,2020 November,2020,November,Wednesday,casual,45
2020-10-07,2020 October,2020,October,Wednesday,casual,491
2020-10-14,2020 October,2020,October,Wednesday,casual,407
2020-10-21,2020 October,2020,October,Wednesday,casual,213
2020-10-28,2020 October,2020,October,Wednesday,casual,175
2020-09-02,2020 September,2020,September,Wednesday,casual,540
2020-09-09,2020 September,2020,September,Wednesday,casual,319
2020-09-16,2020 September,2020,September,Wednesday,casual,592
2020-09-23,2020 September,2020,September,Wednesday,casual,552
2020-09-30,2020 September,2020,September,Wednesday,casual,321
2021-04-02,2021 April,2021,April,Friday,member,401
2021-04-09,2021 April,2021,April,Friday,member,577
2021-04-16,2021 April,2021,April,Friday,member,555
2021-04-23,2021 April,2021,April,Friday,member,587
2021-04-30,2021 April,2021,April,Friday,member,611
2021-08-06,2021 August,2021,August,Friday,member,958
2021-08-13,2021 August,2021,August,Friday,member,1075
2021-08-20,2021 August,2021,August,Friday,member,990
2021-08-27,2021 August,2021,August,Friday,member,1118
2020-12-04,2020 December,2020,December,Friday,member,381
2020-12-11,2020 December,2020,December,Friday,member,258
2020-12-18,2020 December,2020,December,Friday,member,307
2020-12-25,2020 December,2020,December,Friday,member,48
2021-02-05,2021 February,2021,February,Friday,member,115
2021-02-12,2021 February,2021,February,Friday,member,133
2021-02-19,2021 February,2021,February,Friday,member,69
2021-02-26,2021 February,2021,February,Friday,member,234
2021-01-01,2021 January,2021,January,Friday,member,61
2021-01-08,2021 January,2021,January,Friday,member,249
2021-01-15,2021 January,2021,January,Friday,member,276
2021-01-22,2021 January,2021,January,Friday,member,231
2021-01-29,2021 January,2021,January,Friday,member,196
2021-07-02,2021 July,2021,July,Friday,member,1011
2021-07-09,2021 July,2021,July,Friday,member,1084
2021-07-16,2021 July,2021,July,Friday,member,962
2021-07-23,2021 July,2021,July,Friday,member,965
2021-07-30,2021 July,2021,July,Friday,member,1018
2021-06-04,2021 June,2021,June,Friday,member,1052
2021-06-11,2021 June,2021,June,Friday,member,1051
2021-06-18,2021 June,2021,June,Friday,member,954
2021-06-25,2021 June,2021,June,Friday,member,610
2021-03-05,2021 March,2021,March,Friday,member,293
2021-03-12,2021 March,2021,March,Friday,member,352
2021-03-19,2021 March,2021,March,Friday,member,334
2021-03-26,2021 March,2021,March,Friday,member,346
2021-05-07,2021 May,2021,May,Friday,member,622
2021-05-14,2021 May,2021,May,Friday,member,835
2021-05-21,2021 May,2021,May,Friday,member,967
2021-05-28,2021 May,2021,May,Friday,member,370
2020-11-06,2020 November,2020,November,Friday,member,771
2020-11-13,2020 November,2020,November,Friday,member,465
2020-11-20,2020 November,2020,November,Friday,member,515
2020-11-27,2020 November,2020,November,Friday,member,265
2020-10-02,2020 October,2020,October,Friday,member,724
2020-10-09,2020 October,2020,October,Friday,member,930
2020-10-16,2020 October,2020,October,Friday,member,610
2020-10-23,2020 October,2020,October,Friday,member,396
2020-10-30,2020 October,2020,October,Friday,member,526
2020-09-04,2020 September,2020,September,Friday,member,943
2020-09-11,2020 September,2020,September,Friday,member,746
2020-09-18,2020 September,2020,September,Friday,member,846
2020-09-25,2020 September,2020,September,Friday,member,928
2021-04-05,2021 April,2021,April,Monday,member,519
2021-04-12,2021 April,2021,April,Monday,member,569
2021-04-19,2021 April,2021,April,Monday,member,406
2021-04-26,2021 April,2021,April,Monday,member,620
2021-08-02,2021 August,2021,August,Monday,member,937
2021-08-09,2021 August,2021,August,Monday,member,688
2021-08-16,2021 August,2021,August,Monday,member,1025
2021-08-23,2021 August,2021,August,Monday,member,998
2021-08-30,2021 August,2021,August,Monday,member,1012
2020-12-07,2020 December,2020,December,Monday,member,310
2020-12-14,2020 December,2020,December,Monday,member,291
2020-12-21,2020 December,2020,December,Monday,member,287
2020-12-28,2020 December,2020,December,Monday,member,226
2021-02-01,2021 February,2021,February,Monday,member,129
2021-02-08,2021 February,2021,February,Monday,member,72
2021-02-15,2021 February,2021,February,Monday,member,21
2021-02-22,2021 February,2021,February,Monday,member,98
2021-01-04,2021 January,2021,January,Monday,member,190
2021-01-11,2021 January,2021,January,Monday,member,218
2021-01-18,2021 January,2021,January,Monday,member,236
2021-01-25,2021 January,2021,January,Monday,member,182
2021-07-05,2021 July,2021,July,Monday,member,842
2021-07-12,2021 July,2021,July,Monday,member,872
2021-07-19,2021 July,2021,July,Monday,member,985
2021-07-26,2021 July,2021,July,Monday,member,994
2021-06-07,2021 June,2021,June,Monday,member,785
2021-06-14,2021 June,2021,June,Monday,member,951
2021-06-21,2021 June,2021,June,Monday,member,883
2021-06-28,2021 June,2021,June,Monday,member,717
2021-03-01,2021 March,2021,March,Monday,member,230
2021-03-08,2021 March,2021,March,Monday,member,454
2021-03-15,2021 March,2021,March,Monday,member,133
2021-03-22,2021 March,2021,March,Monday,member,541
2021-03-29,2021 March,2021,March,Monday,member,421
2021-05-03,2021 May,2021,May,Monday,member,522
2021-05-10,2021 May,2021,May,Monday,member,462
2021-05-17,2021 May,2021,May,Monday,member,722
2021-05-24,2021 May,2021,May,Monday,member,816
2021-05-31,2021 May,2021,May,Monday,member,685
2020-11-02,2020 November,2020,November,Monday,member,504
2020-11-09,2020 November,2020,November,Monday,member,711
2020-11-16,2020 November,2020,November,Monday,member,418
2020-11-23,2020 November,2020,November,Monday,member,386
2020-11-30,2020 November,2020,November,Monday,member,261
2020-10-05,2020 October,2020,October,Monday,member,655
2020-10-12,2020 October,2020,October,Monday,member,521
2020-10-19,2020 October,2020,October,Monday,member,412
2020-10-26,2020 October,2020,October,Monday,member,411
2020-09-07,2020 September,2020,September,Monday,member,800
2020-09-14,2020 September,2020,September,Monday,member,734
2020-09-21,2020 September,2020,September,Monday,member,772
2020-09-28,2020 September,2020,September,Monday,member,577
2021-04-03,2021 April,2021,April,Saturday,member,643
2021-04-10,2021 April,2021,April,Saturday,member,239
2021-04-17,2021 April,2021,April,Saturday,member,579
2021-04-24,2021 April,2021,April,Saturday,member,650
2021-08-07,2021 August,2021,August,Saturday,member,996
2021-08-14,2021 August,2021,August,Saturday,member,1129
2021-08-21,2021 August,2021,August,Saturday,member,928
2021-08-28,2021 August,2021,August,Saturday,member,947
2020-12-05,2020 December,2020,December,Saturday,member,362
2020-12-12,2020 December,2020,December,Saturday,member,157
2020-12-19,2020 December,2020,December,Saturday,member,256
2020-12-26,2020 December,2020,December,Saturday,member,137
2021-02-06,2021 February,2021,February,Saturday,member,41
2021-02-13,2021 February,2021,February,Saturday,member,41
2021-02-20,2021 February,2021,February,Saturday,member,77
2021-02-27,2021 February,2021,February,Saturday,member,360
2021-01-02,2021 January,2021,January,Saturday,member,134
2021-01-09,2021 January,2021,January,Saturday,member,289
2021-01-16,2021 January,2021,January,Saturday,member,190
2021-01-23,2021 January,2021,January,Saturday,member,214
2021-01-30,2021 January,2021,January,Saturday,member,123
2021-07-03,2021 July,2021,July,Saturday,member,893
2021-07-10,2021 July,2021,July,Saturday,member,760
2021-07-17,2021 July,2021,July,Saturday,member,1033
2021-07-24,2021 July,2021,July,Saturday,member,878
2021-07-31,2021 July,2021,July,Saturday,member,1009
2021-06-05,2021 June,2021,June,Saturday,member,994
2021-06-12,2021 June,2021,June,Saturday,member,935
2021-06-19,2021 June,2021,June,Saturday,member,1067
2021-06-26,2021 June,2021,June,Saturday,member,514
2021-03-06,2021 March,2021,March,Saturday,member,314
2021-03-13,2021 March,2021,March,Saturday,member,469
2021-03-20,2021 March,2021,March,Saturday,member,496
2021-03-27,2021 March,2021,March,Saturday,member,490
2021-05-01,2021 May,2021,May,Saturday,member,824
2021-05-08,2021 May,2021,May,Saturday,member,556
2021-05-15,2021 May,2021,May,Saturday,member,550
2021-05-22,2021 May,2021,May,Saturday,member,1020
2021-05-29,2021 May,2021,May,Saturday,member,722
2020-11-07,2020 November,2020,November,Saturday,member,848
2020-11-14,2020 November,2020,November,Saturday,member,349
2020-11-21,2020 November,2020,November,Saturday,member,422
2020-11-28,2020 November,2020,November,Saturday,member,343
2020-10-03,2020 October,2020,October,Saturday,member,616
2020-10-10,2020 October,2020,October,Saturday,member,854
2020-10-17,2020 October,2020,October,Saturday,member,566
2020-10-24,2020 October,2020,October,Saturday,member,514
2020-10-31,2020 October,2020,October,Saturday,member,569
2020-09-05,2020 September,2020,September,Saturday,member,885
2020-09-12,2020 September,2020,September,Saturday,member,484
2020-09-19,2020 September,2020,September,Saturday,member,781
2020-09-26,2020 September,2020,September,Saturday,member,900
2021-04-04,2021 April,2021,April,Sunday,member,540
